Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2024-11-02 14:00:00+00:00,69218.328125,69362.328125,69045.5078125,69350.0078125,0
2024-11-02 15:00:00+00:00,69399.3359375,69399.3359375,69133.703125,69233.71875,0
2024-11-02 16:00:00+00:00,69549.9296875,69573.015625,69315.15625,69371.75,0
2024-11-02 17:00:00+00:00,69380.9375,69570.796875,69325.46875,69559.75,0
2024-11-02 18:00:00+00:00,69419.2265625,69449.078125,69237.84375,69382.9609375,0
2024-11-02 19:00:00+00:00,69510.546875,69527.75,69389.0859375,69408.6015625,0
2024-11-02 20:00:00+00:00,69504.5234375,69546.1171875,69463.640625,69497.9140625,0
2024-11-02 21:00:00+00:00,69443.9609375,69525.4765625,69439.453125,69525.4765625,0
2024-11-02 22:00:00+00:00,69425.421875,69522.5,69408.609375,69439.3046875,0
2024-11-02 23:00:00+00:00,69280.5234375,69435.4921875,69151.578125,69431.6796875,0
2024-11-03 00:00:00+00:00,69171.5703125,69354.1015625,69171.5703125,69346.71875,0
2024-11-03 01:00:00+00:00,69017.703125,69174.1953125,68988.3203125,69152.21875,492677120
2024-11-03 02:00:00+00:00,68144.2109375,69001.2265625,67893.703125,69001.2265625,2774712320
2024-11-03 03:00:00+00:00,68388.5546875,68406.9765625,68105.5546875,68149.8515625,1255596032
2024-11-03 04:00:00+00:00,68559.3125,68657.6796875,68325.0234375,68377.8203125,515303424
2024-11-03 05:00:00+00:00,68458.5546875,68657.6171875,68427.296875,68558.125,189392896
2024-11-03 06:00:00+00:00,68555.078125,68725.1953125,68387.046875,68419.78125,216795136
2024-11-03 07:00:00+00:00,68381.8125,68686.4140625,68376.140625,68551.1796875,90177536
2024-11-03 08:00:00+00:00,68501.7265625,68542.5546875,68292.75,68378.71875,391000064
2024-11-03 09:00:00+00:00,68208.40625,68491.8671875,68199.859375,68483.359375,186206208
2024-11-03 10:00:00+00:00,68431.4609375,68507.2109375,68214.671875,68214.671875,297056256
2024-11-03 11:00:00+00:00,68325.5625,68540.59375,68307.3828125,68416.578125,197806080
2024-11-03 12:00:00+00:00,68487.8046875,68512.2265625,68320.8515625,68328.859375,127463424
2024-11-03 13:00:00+00:00,68103.7890625,68470.546875,68016.4765625,68468.8125,0
2024-11-03 14:00:00+00:00,67715.171875,68131.0546875,67627.3671875,68035.0390625,1159000064
2024-11-03 15:00:00+00:00,68067.1875,68164.1171875,67554.7421875,67750.4609375,1421774848
